date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2008-12-11 00:00:00,30,18,0.0,11.0,6,93,04:33 PM,05:13 AM,06:57 AM,05:59 PM,13,18,18,18,10,31,72,0.0,1013,18,10,114,5,pune
2009-01-04 04:00:00,30,15,0.0,11.0,6,52,12:01 PM,No moonset,07:08 AM,06:11 PM,12,17,17,17,6,7,72,0.0,1015,17,10,51,3,pune
2009-01-28 08:00:00,34,20,0.0,11.0,7,12,08:18 AM,08:13 PM,07:09 AM,06:26 PM,7,25,25,25,7,0,20,0.0,1013,25,10,142,6,pune
2009-02-21 12:00:00,36,21,0.0,11.8,7,6,04:19 AM,03:31 PM,06:59 AM,06:37 PM,8,33,33,35,16,6,16,0.0,1011,35,10,121,6,pune
2009-03-17 16:00:00,37,22,0.0,12.0,7,53,No moonrise,10:47 AM,06:41 AM,06:45 PM,7,31,31,33,14,3,20,0.0,1008,33,10,294,4,pune
2009-04-10 20:00:00,39,23,0.0,12.0,8,90,07:38 PM,06:27 AM,06:21 AM,06:50 PM,9,28,28,29,13,0,29,0.0,1009,29,10,311,5,pune
2009-05-05 00:00:00,37,24,0.0,11.8,7,73,03:41 PM,03:10 AM,06:05 AM,06:58 PM,21,28,28,26,8,0,74,0.0,1007,26,10,295,7,pune
2009-05-29 04:00:00,35,24,0.0,13.5,7,33,10:46 AM,11:52 PM,05:58 AM,07:07 PM,21,27,27,25,14,3,74,0.0,1007,25,10,279,8,pune
2009-06-22 08:00:00,30,23,0.0,13.0,7,0,05:06 AM,06:58 PM,05:59 AM,07:14 PM,22,31,31,28,20,29,70,0.0,1007,28,9,218,8,pune
2009-07-16 12:00:00,23,22,0.0,9.8,5,32,12:14 AM,01:27 PM,06:07 AM,07:15 PM,22,26,26,23,32,86,93,1.5,1001,23,10,249,15,pune
2009-08-09 16:00:00,25,22,0.0,9.8,5,73,09:02 PM,08:44 AM,06:14 AM,07:05 PM,21,26,26,24,27,95,94,0.3,1004,24,10,256,13,pune
